Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost
Europe,Germany,Baby Food,Offline,H,12/23/13,636471307,1/21/14,4858,255.28,159.42
Sub-Saharan Africa,Swaziland,Fruits,Offline,C,12/1/10,682566249,12/21/10,5376,9.33,6.92
Central America and the Caribbean,El Salvador,Office Supplies,Online,L,10/13/12,560309445,11/7/12,6871,651.21,524.96
Europe,Finland,Clothes,Offline,H,9/22/15,294749724,10/6/15,1848,109.28,35.84
Sub-Saharan Africa,Sierra Leone,Beverages,Online,M,12/10/16,431248414,12/31/16,4844,47.45,31.79
Europe,Croatia,Clothes,Online,C,12/7/10,685479342,12/25/10,7425,109.28,35.84
Sub-Saharan Africa,Democratic Republic of the Congo,Baby Food,Offline,C,12/16/15,393428838,1/28/16,3191,255.28,159.42
Europe,Slovenia,Vegetables,Online,H,4/12/17,761395728,4/28/17,2771,154.06,90.93
Australia and Oceania,Nauru,Fruits,Offline,L,5/12/16,815991342,6/8/16,8826,9.33,6.92
Sub-Saharan Africa,Madagascar,Fruits,Offline,M,12/16/11,554139506,12/17/11,1049,9.33,6.92
Central America and the Caribbean,Honduras,Household,Online,L,6/11/11,493076550,7/8/11,1163,668.27,502.54
Europe,Liechtenstein,Baby Food,Offline,M,11/30/11,320351302,1/1/12,7924,255.28,159.42
Asia,Cambodia,Fruits,Online,M,7/11/11,243825089,7/16/11,2117,9.33,6.92
Sub-Saharan Africa,Djibouti,Snacks,Offline,M,4/11/13,541671741,5/8/13,1560,152.58,97.44
Sub-Saharan Africa,Central African Republic,Household,Online,M,9/4/13,212377583,10/12/13,6101,668.27,502.54
Europe,Romania,Snacks,Online,H,1/24/14,124741446,2/12/14,2621,152.58,97.44
Europe,Russia,Cosmetics,Offline,M,11/11/16,767874658,11/24/16,30,437.2,263.33
North America,Canada,Clothes,Online,L,3/10/14,901201045,3/13/14,4271,109.28,35.84
Europe,Iceland,Cereal,Online,L,5/16/14,704456937,6/18/14,3317,205.7,117.11
Asia,Singapore,Cereal,Online,M,6/13/15,427691161,7/19/15,2174,205.7,117.11
Sub-Saharan Africa,Republic of the Congo,Fruits,Online,C,7/10/16,841265046,7/19/16,7877,9.33,6.92
Central America and the Caribbean,Grenada,Fruits,Online,M,12/22/13,985852420,1/29/14,4494,9.33,6.92
Asia,Kazakhstan,Vegetables,Online,C,10/26/12,422439610,11/14/12,8123,154.06,90.93
Sub-Saharan Africa,Comoros,Cereal,Offline,C,5/10/15,582325446,6/19/15,1895,205.7,117.11
Middle East and North Africa,Azerbaijan,Household,Offline,L,5/15/17,717121255,5/15/17,970,668.27,502.54
Europe,France,Meat,Online,L,12/6/11,148750865,1/13/12,7541,421.89,364.69
Asia,Taiwan,Meat,Offline,H,11/20/15,519450604,11/24/15,5832,421.89,364.69
Sub-Saharan Africa,Cape Verde,Beverages,Offline,H,1/27/13,841769301,3/7/13,7097,47.45,31.79
Middle East and North Africa,Morocco,Household,Online,L,2/13/11,648568284,3/30/11,4623,668.27,502.54
Middle East and North Africa,Iran,Clothes,Online,L,12/1/14,443021380,12/13/14,8726,109.28,35.84
Australia and Oceania,Vanuatu,Snacks,Online,H,4/15/15,348614919,6/2/15,1756,152.58,97.44
Europe,Romania,Beverages,Offline,C,6/21/15,559147727,8/1/15,3093,47.45,31.79
Europe,Albania,Office Supplies,Online,H,3/15/12,888731133,3/15/12,4147,651.21,524.96
Europe,Slovenia,Fruits,Online,C,8/25/14,321788966,9/13/14,3361,9.33,6.92
Asia,Nepal,Personal Care,Offline,H,4/23/10,163057553,4/27/10,1208,81.73,56.67
Europe,Moldova ,Cosmetics,Offline,H,4/4/14,887585723,4/7/14,5194,437.2,263.33
Sub-Saharan Africa,Gabon,Fruits,Online,H,5/6/12,790734803,5/30/12,4855,9.33,6.92
Sub-Saharan Africa,Chad,Cereal,Offline,C,6/3/10,938178622,6/17/10,6758,205.7,117.11
Sub-Saharan Africa,Mali,Baby Food,Online,H,5/23/15,215903508,6/27/15,9501,255.28,159.42
Australia and Oceania,Tuvalu,Baby Food,Offline,C,4/20/16,280208289,5/25/16,8714,255.28,159.42
Asia,Kyrgyzstan,Fruits,Offline,L,11/1/10,607704293,11/26/10,2060,9.33,6.92
Middle East and North Africa,Oman,Household,Online,M,8/31/16,745315349,9/8/16,4229,668.27,502.54
Central America and the Caribbean,Antigua and Barbuda ,Cosmetics,Offline,H,9/5/14,760277783,10/21/14,1946,437.2,263.33
Central America and the Caribbean,The Bahamas,Personal Care,Online,L,4/26/13,790140426,6/7/13,8965,81.73,56.67
Central America and the Caribbean,El Salvador,Household,Online,L,7/12/14,592764604,7/22/14,1074,668.27,502.54
Europe,Monaco,Cereal,Online,L,7/12/17,896324145,7/18/17,1088,205.7,117.11
Sub-Saharan Africa,Djibouti,Office Supplies,Offline,M,1/12/15,249305379,2/27/15,3857,651.21,524.96
North America,Canada,Cosmetics,Offline,L,3/3/12,870507133,4/5/12,1260,437.2,263.33
Sub-Saharan Africa,Guinea,Clothes,Offline,M,2/24/15,999040734,4/4/15,7209,109.28,35.84
Sub-Saharan Africa,Guinea,Household,Online,L,4/19/12,744330012,5/6/12,2646,668.27,502.54
Sub-Saharan Africa,Gabon,Beverages,Offline,M,9/28/15,736111295,11/8/15,545,47.45,31.79
Europe,Czech Republic,Beverages,Online,L,2/24/12,774433410,3/11/12,910,47.45,31.79
Australia and Oceania,Tonga,Clothes,Offline,M,12/26/11,279657685,1/11/12,5779,109.28,35.84
Central America and the Caribbean,Jamaica,Office Supplies,Offline,H,6/1/15,542457950,7/21/15,4217,651.21,524.96
Asia,Cambodia,Beverages,Online,L,2/6/16,673820531,3/18/16,7324,47.45,31.79
Europe,Finland,Cosmetics,Online,H,7/17/12,755044257,9/5/12,3229,437.2,263.33
Central America and the Caribbean,Saint Vincent and the Grenadines,Snacks,Offline,H,11/25/11,487740457,11/26/11,2095,152.58,97.44
Europe,Liechtenstein,Snacks,Offline,L,1/7/11,543832957,1/17/11,1112,152.58,97.44
Australia and Oceania,Kiribati,Household,Online,C,5/24/15,315558087,5/25/15,9505,668.27,502.54
Australia and Oceania,Tonga,Baby Food,Online,L,8/23/12,165464675,10/2/12,3529,255.28,159.42
Middle East and North Africa,Egypt,Fruits,Offline,L,3/8/14,976414048,3/11/14,1470,9.33,6.92
Europe,Ukraine,Beverages,Online,C,7/18/13,101580035,7/25/13,8645,47.45,31.79
Sub-Saharan Africa,Zambia,Fruits,Online,M,11/29/12,814448964,1/1/13,2402,9.33,6.92
Sub-Saharan Africa,Angola,Household,Online,C,9/28/11,158819663,11/13/11,7122,668.27,502.54
Australia and Oceania,Nauru,Cosmetics,Online,L,7/20/10,198803460,8/17/10,9217,437.2,263.33
Europe,Greece,Baby Food,Online,C,9/18/14,368824183,11/7/14,2127,255.28,159.42
Europe,Georgia,Cereal,Online,H,7/11/15,623618161,8/22/15,1327,205.7,117.11
Sub-Saharan Africa,Lesotho,Office Supplies,Offline,C,9/11/16,988234221,10/6/16,9322,651.21,524.96
Europe,Lithuania,Snacks,Online,M,6/10/15,208033692,7/15/15,647,152.58,97.44
Europe,Germany,Fruits,Offline,L,10/24/13,698690402,12/6/13,6871,9.33,6.92
Sub-Saharan Africa,Benin,Cosmetics,Online,C,12/10/14,896190679,1/14/15,1592,437.2,263.33
Sub-Saharan Africa,Gabon,Meat,Online,L,8/28/11,206833350,10/2/11,5439,421.89,364.69
Australia and Oceania,Fiji,Meat,Offline,C,12/29/12,357229745,1/28/13,1075,421.89,364.69
Sub-Saharan Africa,Uganda,Beverages,Offline,M,2/18/10,444303691,4/6/10,8190,47.45,31.79
Middle East and North Africa,Turkey,Beverages,Online,H,6/16/10,985291516,7/8/10,8510,47.45,31.79
Australia and Oceania,Solomon Islands,Cereal,Offline,M,1/20/11,767742049,2/23/11,788,205.7,117.11
Australia and Oceania,Kiribati,Vegetables,Offline,M,1/29/10,899516618,2/21/10,5811,154.06,90.93
Europe,Lithuania,Cosmetics,Offline,C,7/16/10,758789050,8/2/10,1397,437.2,263.33
North America,Canada,Meat,Offline,L,7/3/16,244045674,7/12/16,7393,421.89,364.69
Sub-Saharan Africa,Seychelles ,Vegetables,Offline,H,3/7/14,224085319,4/5/14,680,154.06,90.93
Sub-Saharan Africa,Niger,Household,Online,M,7/21/13,288019311,8/10/13,169,668.27,502.54
Europe,Albania,Vegetables,Offline,M,4/26/14,995271480,5/10/14,1803,154.06,90.93
Sub-Saharan Africa,Tanzania,Baby Food,Offline,M,3/25/17,725578153,3/31/17,3554,255.28,159.42
Sub-Saharan Africa,Mauritania,Personal Care,Offline,C,10/2/12,628988158,10/31/12,428,81.73,56.67
Asia,Cambodia,Meat,Offline,M,2/20/15,575862824,3/22/15,9462,421.89,364.69
Sub-Saharan Africa,Zambia,Meat,Online,C,3/10/13,506875979,4/23/13,4721,421.89,364.69
Sub-Saharan Africa,The Gambia,Snacks,Offline,M,12/3/11,883013951,12/22/11,2306,152.58,97.44
Middle East and North Africa,Saudi Arabia,Baby Food,Online,M,8/21/13,435575568,10/1/13,5345,255.28,159.42
Sub-Saharan Africa,Uganda,Fruits,Online,H,2/13/14,216172158,2/23/14,9000,9.33,6.92
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages,Offline,M,1/5/14,446727550,1/20/14,5464,47.45,31.79
Europe,United Kingdom,Cereal,Offline,C,1/7/15,969478070,1/13/15,8960,205.7,117.11
North America,Greenland,Snacks,Online,H,2/13/16,796972548,3/7/16,742,152.58,97.44
Sub-Saharan Africa,Togo,Cereal,Online,C,5/13/17,362072312,6/1/17,4098,205.7,117.11
Asia,Taiwan,Beverages,Offline,C,1/30/16,167951190,3/5/16,9344,47.45,31.79
Central America and the Caribbean,Dominican Republic,Baby Food,Online,C,8/29/10,338095510,9/23/10,8829,255.28,159.42
Asia,Thailand,Fruits,Offline,L,12/2/11,166304099,1/4/12,1933,9.33,6.92
Europe,Liechtenstein,Cosmetics,Online,M,8/2/16,366688287,8/15/16,68,437.2,263.33
Europe,Spain,Personal Care,Online,M,2/10/11,823671901,2/22/11,1674,81.73,56.67
Europe,Ireland,Snacks,Online,H,4/14/13,141991269,5/19/13,7227,152.58,97.44
Europe,Lithuania,Meat,Online,M,6/20/15,596695220,7/19/15,4230,421.89,364.69
Sub-Saharan Africa,Mozambique,Clothes,Online,H,1/29/11,483145081,1/31/11,2221,109.28,35.84
Europe,Andorra,Cosmetics,Offline,H,7/16/13,867014682,7/19/13,7766,437.2,263.33
Europe,Austria,Clothes,Offline,H,8/12/14,634290349,9/23/14,9464,109.28,35.84
Sub-Saharan Africa,Lesotho,Clothes,Offline,M,11/30/10,541270911,12/17/10,2946,109.28,35.84
Central America and the Caribbean,Belize,Cereal,Online,L,4/11/15,964567697,5/24/15,5871,205.7,117.11
Sub-Saharan Africa,Senegal,Beverages,Online,C,1/30/15,551104533,2/16/15,2933,47.45,31.79
Sub-Saharan Africa,Cote d'Ivoire,Baby Food,Online,M,12/5/13,268117749,12/9/13,855,255.28,159.42
Sub-Saharan Africa,Benin,Fruits,Online,M,9/10/12,253156173,9/18/12,3392,9.33,6.92
Asia,North Korea,Vegetables,Offline,H,4/27/13,264081132,6/8/13,6330,154.06,90.93
Central America and the Caribbean,Saint Kitts and Nevis ,Cereal,Offline,C,1/10/15,129066455,1/20/15,2487,205.7,117.11
Asia,Nepal,Snacks,Offline,H,7/11/10,196598470,8/11/10,6711,152.58,97.44
Europe,Poland,Vegetables,Online,M,7/10/12,885476005,7/17/12,882,154.06,90.93
Sub-Saharan Africa,Angola,Snacks,Offline,C,1/29/12,434810388,2/7/12,8911,152.58,97.44
Asia,Japan,Clothes,Offline,H,9/1/12,754025447,10/14/12,1741,109.28,35.84
Sub-Saharan Africa,Mali,Office Supplies,Online,L,4/7/11,672857511,5/5/11,2345,651.21,524.96
Central America and the Caribbean,Barbados,Baby Food,Online,C,4/7/17,891355407,5/1/17,728,255.28,159.42
Sub-Saharan Africa,Mozambique,Personal Care,Online,L,11/2/10,829880464,11/3/10,8926,81.73,56.67
Europe,Portugal,Vegetables,Online,M,11/12/14,879106509,12/2/14,6007,154.06,90.93
Middle East and North Africa,United Arab Emirates,Baby Food,Online,L,6/9/15,150019872,6/13/15,3069,255.28,159.42
Europe,Latvia,Household,Offline,M,1/23/11,523919379,2/6/11,8242,668.27,502.54
Australia and Oceania,East Timor,Baby Food,Offline,M,6/17/16,802416360,7/13/16,1687,255.28,159.42
Europe,Bosnia and Herzegovina,Snacks,Offline,C,5/4/13,757434642,5/5/13,597,152.58,97.44
Sub-Saharan Africa,South Africa,Clothes,Offline,M,10/5/14,681210553,10/22/14,4196,109.28,35.84
Europe,Germany,Office Supplies,Offline,M,12/5/15,936292922,1/12/16,8737,651.21,524.96
Europe,Kosovo,Fruits,Offline,M,2/3/13,605543076,3/17/13,2508,9.33,6.92
Australia and Oceania,Solomon Islands,Household,Offline,C,12/13/14,642134845,1/27/15,825,668.27,502.54
Asia,Japan,Baby Food,Offline,L,2/6/16,719554555,3/2/16,1038,255.28,159.42
Sub-Saharan Africa,Senegal,Personal Care,Online,M,12/31/15,581601035,1/2/16,7526,81.73,56.67
Central America and the Caribbean,Honduras,Meat,Online,L,3/4/15,492385613,3/10/15,6700,421.89,364.69
Sub-Saharan Africa,Togo,Beverages,Offline,H,5/31/11,786332118,6/6/11,2003,47.45,31.79
Middle East and North Africa,Egypt,Snacks,Online,L,3/2/11,518176877,4/7/11,8908,152.58,97.44
Europe,Belarus,Fruits,Online,C,7/28/10,612968719,8/11/10,9920,9.33,6.92
Asia,Bhutan,Baby Food,Offline,C,5/30/14,716068971,6/26/14,9576,255.28,159.42
Europe,Portugal,Beverages,Offline,L,3/3/17,543151462,4/18/17,9442,47.45,31.79
Sub-Saharan Africa,Burkina Faso,Personal Care,Online,M,5/26/14,330202519,5/31/14,3118,81.73,56.67
Asia,Maldives,Snacks,Online,L,1/29/14,383520972,3/2/14,1233,152.58,97.44
Australia and Oceania,Samoa ,Baby Food,Online,L,2/6/10,629718148,2/17/10,6449,255.28,159.42
Asia,Malaysia,Clothes,Online,M,5/11/16,165717875,5/30/16,8457,109.28,35.84
Australia and Oceania,New Zealand,Office Supplies,Offline,C,7/8/17,408756482,8/22/17,8981,651.21,524.96
Central America and the Caribbean,Honduras,Vegetables,Offline,C,9/1/10,146382796,9/15/10,6777,154.06,90.93
Australia and Oceania,East Timor,Household,Offline,M,9/5/16,486458146,9/23/16,2630,668.27,502.54
Asia,Vietnam,Clothes,Offline,L,11/6/15,807156360,12/12/15,4358,109.28,35.84
Europe,Malta,Meat,Offline,H,3/27/12,106963765,4/5/12,1810,421.89,364.69
Europe,Cyprus,Cereal,Offline,L,10/8/14,154679191,10/25/14,1865,205.7,117.11
Middle East and North Africa,United Arab Emirates,Fruits,Online,L,9/20/10,539413964,9/24/10,3434,9.33,6.92
Asia,Malaysia,Cereal,Online,M,12/3/14,920591914,12/6/14,2460,205.7,117.11
Europe,San Marino,Cereal,Online,M,12/27/12,577949368,1/3/13,6916,205.7,117.11
Central America and the Caribbean,Dominica,Fruits,Offline,L,7/14/10,661535155,7/14/10,1808,9.33,6.92
Europe,Italy,Baby Food,Online,H,3/24/14,141710603,4/22/14,4171,255.28,159.42
Europe,Andorra,Beverages,Online,L,11/15/12,759149539,12/14/12,8073,47.45,31.79
North America,Canada,Meat,Offline,H,7/1/11,274838292,8/17/11,9613,421.89,364.69
Sub-Saharan Africa,Mozambique,Cereal,Offline,H,5/23/12,120075690,6/12/12,1920,205.7,117.11
Sub-Saharan Africa,Republic of the Congo,Baby Food,Offline,C,5/6/11,446473062,6/24/11,155,255.28,159.42
Middle East and North Africa,Algeria,Personal Care,Offline,M,7/26/16,575954234,8/15/16,6512,81.73,56.67
Australia and Oceania,Tonga,Snacks,Offline,H,8/16/14,350755536,9/21/14,5213,152.58,97.44
Europe,Netherlands,Snacks,Offline,M,1/24/12,583425796,2/28/12,7513,152.58,97.44
Central America and the Caribbean,Saint Vincent and the Grenadines,Household,Online,M,7/6/16,806826341,7/27/16,6699,668.27,502.54
Asia,Taiwan,Fruits,Offline,L,2/23/10,624131000,3/31/10,3087,9.33,6.92
Middle East and North Africa,Tunisia ,Vegetables,Online,C,1/30/14,158826100,3/3/14,9027,154.06,90.93
Sub-Saharan Africa,Sao Tome and Principe,Clothes,Online,C,5/30/16,504710471,6/2/16,3899,109.28,35.84
Central America and the Caribbean,El Salvador,Cereal,Online,C,11/14/13,575895440,11/19/13,9113,205.7,117.11
Central America and the Caribbean,Barbados,Cereal,Offline,M,8/15/15,256804835,9/17/15,3112,205.7,117.11
Sub-Saharan Africa,Djibouti,Cosmetics,Offline,M,9/26/16,852174985,11/8/16,6370,437.2,263.33
Europe,Netherlands,Beverages,Offline,H,2/24/17,137054717,3/28/17,6391,47.45,31.79
Australia and Oceania,New Zealand,Meat,Online,H,4/14/10,906805360,4/22/10,2712,421.89,364.69
Sub-Saharan Africa,Zambia,Office Supplies,Offline,L,2/17/17,627100741,3/9/17,1900,651.21,524.96
Sub-Saharan Africa,Namibia,Clothes,Offline,H,4/22/14,883927190,5/19/14,2553,109.28,35.84
Central America and the Caribbean,Saint Kitts and Nevis ,Household,Offline,C,7/29/13,633583533,8/27/13,302,668.27,502.54
Middle East and North Africa,Afghanistan,Cosmetics,Offline,C,8/13/12,252681100,9/20/12,2807,437.2,263.33
Central America and the Caribbean,Antigua and Barbuda ,Office Supplies,Offline,L,12/20/13,188143718,12/23/13,4762,651.21,524.96
Australia and Oceania,New Zealand,Cereal,Offline,C,8/26/13,507207715,10/7/13,2889,205.7,117.11
Sub-Saharan Africa,Niger,Cosmetics,Offline,M,7/17/12,447421920,7/19/12,944,437.2,263.33
Central America and the Caribbean,Barbados,Fruits,Online,C,8/2/12,666647660,8/3/12,4712,9.33,6.92
Sub-Saharan Africa,Zambia,Cosmetics,Online,M,12/30/12,993058764,2/12/13,7011,437.2,263.33
Europe,United Kingdom,Office Supplies,Offline,M,1/24/14,875141561,3/10/14,2690,651.21,524.96
Europe,Netherlands,Personal Care,Online,L,5/7/13,731694877,5/16/13,3629,81.73,56.67
Central America and the Caribbean,Honduras,Baby Food,Online,L,1/19/17,601830041,1/26/17,3738,255.28,159.42
Europe,Iceland,Cosmetics,Offline,L,7/5/13,594970881,8/20/13,3960,437.2,263.33
Australia and Oceania,Australia,Cereal,Online,H,11/1/14,440853726,12/15/14,7269,205.7,117.11
Sub-Saharan Africa,South Africa,Fruits,Online,M,4/13/15,839527404,4/21/15,3670,9.33,6.92
Sub-Saharan Africa,Democratic Republic of the Congo,Household,Online,H,2/28/10,311353242,3/14/10,5198,668.27,502.54
Europe,Germany,Vegetables,Online,C,10/15/14,147005069,11/3/14,921,154.06,90.93
Central America and the Caribbean,Belize,Fruits,Online,H,4/2/15,357469213,5/19/15,1939,9.33,6.92
Europe,Ukraine,Vegetables,Offline,C,1/20/10,124044501,1/27/10,6379,154.06,90.93
Middle East and North Africa,Yemen,Vegetables,Offline,C,12/2/13,948342263,12/30/13,4405,154.06,90.93
Europe,Albania,Cereal,Offline,L,2/18/16,802286326,3/10/16,3207,205.7,117.11
Sub-Saharan Africa,Sierra Leone,Cereal,Offline,H,8/9/14,878113019,8/20/14,2011,205.7,117.11
Sub-Saharan Africa,Madagascar,Cereal,Offline,H,2/9/12,638371169,2/23/12,7070,205.7,117.11
Sub-Saharan Africa,Botswana,Office Supplies,Online,L,6/23/12,965922105,7/1/12,6671,651.21,524.96
Europe,Ukraine,Personal Care,Online,H,10/28/16,113939654,11/6/16,6131,81.73,56.67
Middle East and North Africa,Qatar,Beverages,Online,M,3/8/12,455910146,4/23/12,2798,47.45,31.79
Asia,Sri Lanka,Household,Offline,M,2/26/13,835632407,4/4/13,1054,668.27,502.54
Europe,Estonia,Baby Food,Offline,L,9/9/12,617217767,9/21/12,7308,255.28,159.42
Europe,Spain,Cereal,Online,L,2/28/16,135090053,4/10/16,5003,205.7,117.11
Asia,North Korea,Snacks,Online,L,11/8/14,243985593,11/15/14,9614,152.58,97.44
Sub-Saharan Africa,Seychelles ,Vegetables,Offline,H,6/28/12,968953216,7/29/12,3644,154.06,90.93
Sub-Saharan Africa,Botswana,Vegetables,Offline,L,11/7/13,155354249,12/24/13,1629,154.06,90.93
Central America and the Caribbean,Jamaica,Clothes,Online,C,6/4/13,218862521,6/30/13,5138,109.28,35.84
Sub-Saharan Africa,Ethiopia,Cosmetics,Offline,H,5/1/14,495464360,5/5/14,7769,437.2,263.33
Europe,Portugal,Vegetables,Offline,H,12/22/16,391458594,12/29/16,152,154.06,90.93
Asia,Mongolia,Household,Online,M,4/3/15,733456552,4/24/15,4947,668.27,502.54
Europe,Bosnia and Herzegovina,Snacks,Online,C,6/26/15,618382060,7/16/15,1848,152.58,97.44
Sub-Saharan Africa,Democratic Republic of the Congo,Baby Food,Online,H,6/23/17,563471448,8/8/17,2578,255.28,159.42
Europe,Cyprus,Clothes,Online,L,10/2/10,256273543,10/24/10,5891,109.28,35.84
Australia and Oceania,Papua New Guinea,Cosmetics,Online,C,3/7/16,804649674,4/18/16,2575,437.2,263.33
Australia and Oceania,Kiribati,Meat,Offline,C,1/20/14,686773669,2/22/14,445,421.89,364.69
Europe,Ireland,Household,Offline,H,1/5/16,701131856,2/11/16,9352,668.27,502.54
Sub-Saharan Africa,Niger,Beverages,Offline,M,11/1/15,816523063,12/5/15,6174,47.45,31.79
Sub-Saharan Africa,Ethiopia,Cereal,Offline,H,12/6/15,622058618,12/23/15,9823,205.7,117.11
Australia and Oceania,Kiribati,Baby Food,Offline,C,12/31/15,677162349,1/20/16,6242,255.28,159.42
Asia,Thailand,Office Supplies,Online,L,10/18/16,261570584,11/24/16,3403,651.21,524.96
Europe,Macedonia,Cereal,Online,C,5/11/16,525332152,6/30/16,6313,205.7,117.11
Sub-Saharan Africa,Mauritius ,Personal Care,Online,H,10/14/13,438808381,10/20/13,2006,81.73,56.67
Sub-Saharan Africa,Comoros,Personal Care,Online,L,1/13/13,842673099,2/23/13,4551,81.73,56.67
Europe,Hungary,Vegetables,Offline,M,7/19/11,397912633,7/21/11,45,154.06,90.93
Europe,San Marino,Office Supplies,Offline,M,8/15/11,535825812,9/12/11,1620,651.21,524.96
Central America and the Caribbean,Dominica,Baby Food,Offline,H,8/12/16,508023965,8/27/16,4435,255.28,159.42
Central America and the Caribbean,Saint Vincent and the Grenadines,Office Supplies,Online,L,1/10/12,536430919,1/13/12,684,651.21,524.96
Europe,Ukraine,Clothes,Offline,M,9/14/14,463283002,10/28/14,4590,109.28,35.84
Europe,Luxembourg,Cereal,Online,C,1/21/16,201129043,2/16/16,7408,205.7,117.11
Europe,Portugal,Office Supplies,Online,H,2/18/16,182830369,2/20/16,2424,651.21,524.96
Middle East and North Africa,Iraq,Clothes,Online,L,4/5/12,911560809,4/19/12,9955,109.28,35.84
Australia and Oceania,Papua New Guinea,Snacks,Offline,H,5/28/10,710806691,6/13/10,2350,152.58,97.44
Central America and the Caribbean,Panama,Office Supplies,Online,M,10/21/13,674366843,10/22/13,8990,651.21,524.96
Sub-Saharan Africa,Sao Tome and Principe,Cosmetics,Online,C,8/18/11,616352593,9/12/11,1284,437.2,263.33
Sub-Saharan Africa,Cape Verde,Snacks,Online,L,1/11/13,421187770,2/12/13,7676,152.58,97.44
Asia,Vietnam,Clothes,Online,H,2/1/13,493608701,3/2/13,8638,109.28,35.84
North America,Mexico,Personal Care,Offline,H,9/26/11,408664214,10/9/11,1677,81.73,56.67
Middle East and North Africa,Algeria,Office Supplies,Online,L,7/15/17,261715638,8/27/17,6328,651.21,524.96
Central America and the Caribbean,Guatemala,Snacks,Online,L,8/15/13,218436801,8/29/13,9158,152.58,97.44
Europe,Monaco,Snacks,Online,L,6/22/14,964814031,8/1/14,8767,152.58,97.44
Central America and the Caribbean,Antigua and Barbuda ,Clothes,Offline,C,9/15/16,557146155,10/3/16,783,109.28,35.84
Sub-Saharan Africa,Kenya,Office Supplies,Online,M,6/8/10,272044503,6/19/10,2869,651.21,524.96
Europe,Croatia,Baby Food,Offline,C,5/1/13,556432902,5/20/13,9716,255.28,159.42
Middle East and North Africa,Tunisia ,Fruits,Online,L,11/6/13,577547681,11/12/13,8048,9.33,6.92
Asia,Malaysia,Cosmetics,Offline,C,11/12/12,472937667,12/6/12,1620,437.2,263.33
Asia,Vietnam,Vegetables,Offline,H,4/28/12,900464189,6/6/12,6219,154.06,90.93
Middle East and North Africa,Saudi Arabia,Meat,Online,H,6/11/11,788301074,6/14/11,4660,421.89,364.69
Asia,Bhutan,Fruits,Online,H,7/4/10,484934651,8/9/10,1795,9.33,6.92
Europe,Slovenia,Cereal,Offline,C,8/25/14,409163749,10/4/14,9501,205.7,117.11
Central America and the Caribbean,Saint Kitts and Nevis ,Office Supplies,Offline,C,12/5/14,600099694,1/9/15,1690,651.21,524.96
Sub-Saharan Africa,Guinea,Household,Online,C,10/27/14,267166316,11/23/14,9305,668.27,502.54
Asia,Philippines,Baby Food,Offline,H,4/21/11,940099942,5/28/11,5319,255.28,159.42
Middle East and North Africa,Saudi Arabia,Clothes,Offline,H,10/8/13,618949401,10/30/13,9737,109.28,35.84
Sub-Saharan Africa,Burundi,Snacks,Offline,C,7/13/17,524076020,7/18/17,4595,152.58,97.44
Europe,Cyprus,Personal Care,Offline,L,3/9/15,146153628,4/24/15,8961,81.73,56.67
Australia and Oceania,Kiribati,Clothes,Offline,C,7/15/15,396168553,7/31/15,3934,109.28,35.84
Sub-Saharan Africa,Central African Republic,Fruits,Offline,L,2/3/17,455419623,3/4/17,7642,9.33,6.92
Sub-Saharan Africa,Botswana,Beverages,Online,C,11/9/11,925518167,11/17/11,247,47.45,31.79
Europe,Belgium,Meat,Offline,L,10/29/11,678388011,11/16/11,8943,421.89,364.69
Australia and Oceania,Fiji,Household,Online,H,12/2/14,906265485,1/4/15,2951,668.27,502.54
Europe,Belarus,Beverages,Online,M,5/2/16,171699416,5/21/16,8528,47.45,31.79
Asia,Cambodia,Snacks,Online,C,5/1/12,257551133,5/3/12,3959,152.58,97.44
Asia,Sri Lanka,Clothes,Offline,C,8/8/11,316994464,8/9/11,4561,109.28,35.84
Europe,Serbia,Baby Food,Offline,H,4/25/16,923515737,6/9/16,7684,255.28,159.42
Europe,Malta,Baby Food,Online,M,10/15/10,920913779,12/3/10,7707,255.28,159.42
Asia,Thailand,Household,Offline,M,9/7/10,573299920,10/23/10,1041,668.27,502.54
Middle East and North Africa,Azerbaijan,Office Supplies,Online,M,10/21/13,215097987,10/25/13,1129,651.21,524.96
Australia and Oceania,Vanuatu,Baby Food,Offline,C,6/11/11,701044309,6/19/11,3445,255.28,159.42
Europe,Slovenia,Personal Care,Online,C,11/19/14,256187713,12/16/14,492,81.73,56.67
Europe,Liechtenstein,Snacks,Online,C,10/8/13,325889527,11/22/13,6808,152.58,97.44
Sub-Saharan Africa,Sao Tome and Principe,Clothes,Online,M,2/25/10,625823581,4/1/10,3960,109.28,35.84
Sub-Saharan Africa,Sudan,Beverages,Online,M,9/26/14,491976201,10/28/14,5546,47.45,31.79
Sub-Saharan Africa,Zambia,Baby Food,Online,L,10/9/12,230646216,10/19/12,2196,255.28,159.42
Middle East and North Africa,Tunisia ,Meat,Offline,L,4/22/13,668444955,4/30/13,6571,421.89,364.69
Central America and the Caribbean,El Salvador,Baby Food,Online,L,1/30/15,902296245,3/21/15,8365,255.28,159.42
North America,United States of America,Snacks,Offline,M,5/4/10,549436414,5/28/10,9299,152.58,97.44
Asia,Mongolia,Office Supplies,Online,C,4/25/11,197414290,5/3/11,8130,651.21,524.96
Asia,Mongolia,Snacks,Online,L,2/27/16,954091203,4/11/16,5644,152.58,97.44
